week,seconds,solstat_message,position type_message,lat,lon,hgt,undulation,datum,latsigma,lonsigma,stationid,differential_age,solution_age,numberoftrackedsats,numberofL1sats,numberofmultisats,reserved,Extended solution status ,Galileo and BeiDou sig mask,GPS and GLONASS sig mask,32 Bit crc
2201,176688.000,Solution computed,Solution calculated using only data supplied by the GNSS satellites,51.07915043361,-114.12648824253,1108.8233,-16.6000,WGS84,1.2428,1.3888,"""""",0.000,0.000,19,18,17,00,WIP,WIP,33,"c443c828
"
2201,176689.000,Solution computed,Solution calculated using only data supplied by the GNSS satellites,51.07915057409,-114.12648850926,1108.7962,-16.6000,WGS84,1.2429,1.3889,"""""",0.000,0.000,19,18,18,00,WIP,WIP,33,"6f08ad6e
"
2201,176690.000,Solution computed,Solution calculated using only data supplied by the GNSS satellites,51.07914866980,-114.12648579692,1108.5834,-16.6000,WGS84,1.2415,1.3878,"""""",0.000,0.000,20,18,17,00,WIP,WIP,33,"00c3516c
"
2201,176691.000,Solution computed,Solution calculated using only data supplied by the GNSS satellites,51.07914884912,-114.12648596049,1108.5182,-16.6000,WGS84,1.2424,1.3889,"""""",0.000,0.000,19,18,18,00,WIP,WIP,33,"8be1c1f4
"
2201,176692.000,Solution computed,Solution calculated using only data supplied by the GNSS satellites,51.07914900075,-114.12648623047,1108.4477,-16.6000,WGS84,1.2423,1.3888,"""""",0.000,0.000,19,18,17,00,WIP,WIP,33,"40e26959
"
2201,176693.000,Solution computed,Solution calculated using only data supplied by the GNSS satellites,51.07915021430,-114.12648518925,1108.6690,-16.6000,WGS84,1.3664,1.4539,"""""",0.000,0.000,17,17,16,00,WIP,WIP,33,"65ce9021
"
2201,176694.000,Solution computed,Solution calculated using only data supplied by the GNSS satellites,51.07914907282,-114.12648692819,1108.4875,-16.6000,WGS84,1.2418,1.3881,"""""",0.000,0.000,19,18,17,00,WIP,WIP,33,"84ce916a
"
2201,176695.000,Solution computed,Solution calculated using only data supplied by the GNSS satellites,51.07914891346,-114.12648766746,1108.5649,-16.6000,WGS84,1.2424,1.3889,"""""",0.000,0.000,19,18,18,00,WIP,WIP,33,"4ef5a3cc
"
2201,176696.000,Solution computed,Solution calculated using only data supplied by the GNSS satellites,51.07914890568,-114.12648797235,1108.5562,-16.6000,WGS84,1.2423,1.3886,"""""",0.000,0.000,19,18,17,00,WIP,WIP,33,"206c0d1d
"
2201,176697.000,Solution computed,Solution calculated using only data supplied by the GNSS satellites,51.07914900447,-114.12648808148,1108.4962,-16.6000,WGS84,1.2433,1.3897,"""""",0.000,0.000,20,18,17,00,WIP,WIP,33,"6feca4da
"
2201,176698.000,Solution computed,Solution calculated using only data supplied by the GNSS satellites,51.07914914829,-114.12648794029,1108.4034,-16.6000,WGS84,1.2429,1.3890,"""""",0.000,0.000,19,18,17,00,WIP,WIP,33,"56fb0bee
"
2201,176699.000,Solution computed,Solution calculated using only data supplied by the GNSS satellites,51.07914909840,-114.12648812175,1108.3931,-16.6000,WGS84,1.2424,1.3885,"""""",0.000,0.000,19,18,17,00,WIP,WIP,33,"62b91bb0
"
2201,176700.000,Solution computed,Solution calculated using only data supplied by the GNSS satellites,51.07914910065,-114.12648837055,1108.4026,-16.6000,WGS84,1.2425,1.3886,"""""",0.000,0.000,19,18,16,00,WIP,WIP,33,"2f69ba4b
"
