week,seconds,stnid,numberofsatsinsol,numberofL1,numberofmultisats,lat,latsigma,lon,lonsigma,hgt,hgtsigma,und
2201,176688.000,"""""",18,18,17,51.07915514727,1.1521,-114.12649388573,1.2659,1107.4151,2.0146,-16.6000
2201,176689.000,"""""",18,18,17,51.07915513910,1.1536,-114.12649387237,1.2675,1107.4148,2.0164,-16.6000
2201,176690.000,"""""",18,18,18,51.07915513804,1.1550,-114.12649386454,1.2689,1107.4142,2.0180,-16.6000
2201,176691.000,"""""",18,18,17,51.07915513876,1.1563,-114.12649386079,1.2701,1107.4143,2.0194,-16.6000
2201,176692.000,"""""",18,18,18,51.07915513991,1.1575,-114.12649386317,1.2713,1107.4146,2.0206,-16.6000
2201,176693.000,"""""",18,18,17,51.07915514014,1.1587,-114.12649387140,1.2724,1107.4150,2.0217,-16.6000
2201,176694.000,"""""",17,17,16,51.07915514130,1.1597,-114.12649386803,1.2734,1107.4144,2.0227,-16.6000
2201,176695.000,"""""",18,18,17,51.07915514338,1.1606,-114.12649385946,1.2743,1107.4135,2.0235,-16.6000
2201,176696.000,"""""",18,18,18,51.07915515171,1.1614,-114.12649385165,1.2750,1107.4140,2.0240,-16.6000
2201,176697.000,"""""",18,18,17,51.07915516061,1.1627,-114.12649382245,1.2762,1107.4134,2.0248,-16.6000
2201,176698.000,"""""",18,18,17,51.07915516549,1.1656,-114.12649378505,1.2790,1107.4137,2.0263,-16.6000
2201,176699.000,"""""",18,18,17,51.07915510758,1.1658,-114.12649366273,1.2788,1107.4207,2.0220,-16.6000
2201,176700.000,"""""",18,18,17,51.07915503046,1.1690,-114.12649353060,1.2822,1107.4287,2.0196,-16.6000
2201,176701.000,"""""",18,18,16,51.07915494814,1.1750,-114.12649338901,1.2900,1107.4392,2.0199,-16.6000
2201,176702.000,"""""",18,18,16,51.07915487410,1.1834,-114.12649324409,1.3022,1107.4509,2.0234,-16.6000
2201,176703.000,"""""",18,18,18,51.07915479732,1.1933,-114.12649314281,1.3183,1107.4633,2.0312,-16.6000
2201,176704.000,"""""",18,18,18,51.07915469734,1.2037,-114.12649294608,1.3369,1107.4765,2.0441,-16.6000
2201,176705.000,"""""",18,18,17,51.07915465738,1.2140,-114.12649283826,1.3567,1107.4926,2.0623,-16.6000
2201,176706.000,"""""",18,18,17,51.07915478604,1.1709,-114.12649379354,1.2852,1107.4470,1.9962,-16.6000
2201,176707.000,"""""",18,18,17,51.07915473122,1.1649,-114.12649374953,1.2785,1107.4500,1.9876,-16.6000
2201,176708.000,"""""",18,18,18,51.07915469247,1.1590,-114.12649370861,1.2719,1107.4563,1.9791,-16.6000
2201,176709.000,"""""",18,18,17,51.07915461211,1.1533,-114.12649366280,1.2654,1107.4619,1.9707,-16.6000
