"['week', 'seconds', 'stnid', 'numberofsatsinsol', 'numberofL1', 'numberofmultisats', 'lat', 'latsigma', 'lon', 'lonsigma', 'hgt', 'hgtsigma', 'und']"
2193,3777.000,"""""",9,9,9,51.04987364610,6.4529,-114.06102629198,1.8076,1042.6657,9.1238,-16.7000
2193,3778.000,"""""",9,9,9,51.04987360659,6.4515,-114.06102643863,1.8078,1042.6367,9.1211,-16.7000
2193,3779.000,"""""",9,9,9,51.04987320021,6.4504,-114.06102656745,1.8080,1042.6234,9.1200,-16.7000
2193,3780.000,"""""",9,9,9,51.04987299604,6.4490,-114.06102645271,1.8081,1042.5812,9.1162,-16.7000
2193,3781.000,"""""",9,9,9,51.04987352228,6.4478,-114.06102671058,1.8082,1042.7018,9.1136,-16.7000
2193,3782.000,"""""",9,9,9,51.04987344717,6.4465,-114.06102643635,1.8084,1042.7031,9.1114,-16.7000
2193,3783.000,"""""",9,9,9,51.04987330067,6.4455,-114.06102637649,1.8087,1042.6872,9.1094,-16.7000
2193,3784.000,"""""",9,9,9,51.04987262958,6.4440,-114.06102615155,1.8090,1042.5638,9.1060,-16.7000
2193,3785.000,"""""",9,9,9,51.04987179166,6.4430,-114.06102592779,1.8093,1042.3875,9.1045,-16.7000
2193,3786.000,"""""",9,9,9,51.04987147176,6.4418,-114.06102575292,1.8094,1042.3080,9.1025,-16.7000
2193,3787.000,"""""",9,9,9,51.04987160046,6.4405,-114.06102549395,1.8093,1042.3741,9.1003,-16.7000
2193,3788.000,"""""",9,9,9,51.04987135687,6.4390,-114.06102550676,1.8093,1042.3777,9.0973,-16.7000
2193,3789.000,"""""",9,9,9,51.04987024679,6.4378,-114.06102538427,1.8095,1042.1514,9.0953,-16.7000
2193,3790.000,"""""",9,9,9,51.04986962190,6.4362,-114.06102525332,1.8098,1042.0414,9.0918,-16.7000
2193,3791.000,"""""",9,9,9,51.04986951486,6.4350,-114.06102503259,1.8102,1042.0330,9.0893,-16.7000
2193,3792.000,"""""",9,9,9,51.04986947911,6.4340,-114.06102497121,1.8105,1042.0310,9.0880,-16.7000
2193,3793.000,"""""",9,9,9,51.04986960309,6.4326,-114.06102483798,1.8105,1042.0640,9.0849,-16.7000
2193,3794.000,"""""",10,10,9,51.04986697699,6.0423,-114.06102493638,1.8078,1041.6262,8.5392,-16.7000
2193,3795.000,"""""",10,10,9,51.04987139363,5.6351,-114.06102428066,1.8053,1042.3340,7.9699,-16.7000
2193,3796.000,"""""",9,9,9,51.04986919917,6.4284,-114.06102420355,1.8107,1041.9261,9.0774,-16.7000
2193,3797.000,"""""",9,9,9,51.04986911735,6.4273,-114.06102383996,1.8113,1041.8999,9.0758,-16.7000
2193,3798.000,"""""",9,9,9,51.04986890550,6.4259,-114.06102362307,1.8118,1041.8017,9.0727,-16.7000
2193,3799.000,"""""",9,9,9,51.04986834726,6.4235,-114.06102325960,1.8119,1041.6710,9.0630,-16.7000
2193,3800.000,"""""",9,9,9,51.04986794173,6.4223,-114.06102316484,1.8119,1041.5463,9.0602,-16.7000
2193,3801.000,"""""",9,9,9,51.04986739706,6.4212,-114.06102320102,1.8116,1041.3997,9.0598,-16.7000
2193,3802.000,"""""",9,9,9,51.04986769178,6.4202,-114.06102311927,1.8118,1041.4027,9.0583,-16.7000
2193,3803.000,"""""",9,9,9,51.04986670032,6.4196,-114.06102287575,1.8123,1041.1567,9.0580,-16.7000
2193,3804.000,"""""",9,9,9,51.04986696632,6.4184,-114.06102267835,1.8127,1041.1169,9.0552,-16.7000
2193,3805.000,"""""",9,9,9,51.04986677842,6.4173,-114.06102245735,1.8134,1041.0378,9.0536,-16.7000
2193,3806.000,"""""",9,9,9,51.04986646197,6.4162,-114.06102211291,1.8136,1040.9342,9.0530,-16.7000
2193,3807.000,"""""",9,9,9,51.04986579378,6.4154,-114.06102207221,1.8135,1040.8088,9.0525,-16.7000
2193,3808.000,"""""",9,9,9,51.04986602805,6.4139,-114.06102225953,1.8135,1040.8364,9.0492,-16.7000
2193,3809.000,"""""",9,9,9,51.04986608382,6.4124,-114.06102238868,1.8135,1040.8687,9.0461,-16.7000
2193,3810.000,"""""",9,9,9,51.04986647125,6.4112,-114.06102216124,1.8138,1040.8650,9.0443,-16.7000
2193,3811.000,"""""",9,9,9,51.04986607023,6.4102,-114.06102222228,1.8144,1040.7391,9.0433,-16.7000
2193,3812.000,"""""",9,9,9,51.04986614014,6.4089,-114.06102219669,1.8147,1040.7441,9.0427,-16.7000
2193,3813.000,"""""",9,9,9,51.04986615051,6.4076,-114.06102224517,1.8150,1040.7386,9.0388,-16.7000
2193,3814.000,"""""",9,9,9,51.04986622884,6.4059,-114.06102207409,1.8150,1040.6617,9.0349,-16.7000
2193,3815.000,"""""",9,9,9,51.04986554926,6.4042,-114.06102232138,1.8150,1040.4684,9.0304,-16.7000
