solution status,position type,GPS tracking elevation cut-off angle,PRN,glofreq,tracking status,pseudorange measurement,doppler freq,Carrier to noise density ratio,locktime,pseudorange residual,range reject code,pseudorange filter weighting
Solution computed,"INS position, where the last applied position update used a single point GNSS(SINGLE) solution",5.0,19,0,1800bc04,24980109.459,-3503.062,31.102,37.176,-0.561,GOOD,0.199
Solution computed,"INS position, where the last applied position update used a single point GNSS(SINGLE) solution",5.0,19,0,0120200b,0.000,-2729.659,25.957,0.116,0.000,NA,0.000
Solution computed,"INS position, where the last applied position update used a single point GNSS(SINGLE) solution",5.0,0,0,02208000,0.000,0.000,0.000,0.000,0.000,NA,0.000
Solution computed,"INS position, where the last applied position update used a single point GNSS(SINGLE) solution",5.0,0,0,01c02000,0.000,0.000,0.000,0.000,0.000,NA,0.000
Solution computed,"INS position, where the last applied position update used a single point GNSS(SINGLE) solution",5.0,2,0,0810bc24,20987450.364,-760.110,50.765,1153.119,-0.234,GOOD,0.247
Solution computed,"INS position, where the last applied position update used a single point GNSS(SINGLE) solution",5.0,2,0,01303c2b,20987447.548,-592.292,48.816,1153.110,0.000,OBSL2,0.000
Solution computed,"INS position, where the last applied position update used a single point GNSS(SINGLE) solution",5.0,0,0,02208020,0.000,0.000,0.000,0.000,0.000,NA,0.000
Solution computed,"INS position, where the last applied position update used a single point GNSS(SINGLE) solution",5.0,0,0,01c02020,0.000,0.000,0.000,0.000,0.000,NA,0.000
Solution computed,"INS position, where the last applied position update used a single point GNSS(SINGLE) solution",5.0,5,0,1810bc44,23471720.831,3720.059,40.777,723.819,-0.238,GOOD,0.239
Solution computed,"INS position, where the last applied position update used a single point GNSS(SINGLE) solution",5.0,5,0,11303c4b,23471720.954,2898.748,37.919,715.239,0.000,OBSL2,0.000
Solution computed,"INS position, where the last applied position update used a single point GNSS(SINGLE) solution",5.0,5,0,02309c4b,23471722.437,2898.751,38.676,455.460,0.000,OBSL2,0.000
Solution computed,"INS position, where the last applied position update used a single point GNSS(SINGLE) solution",5.0,0,0,01c02040,0.000,0.000,0.000,0.000,0.000,NA,0.000
Solution computed,"INS position, where the last applied position update used a single point GNSS(SINGLE) solution",5.0,31,0,0800b464,24040611.180,716.566,31.173,1.198,0.000,NOIONOCORR,0.000
